Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
49,Can Plaça,9.2,5020,3.9,88,4.6,4932,,Landmarks & Historical Buildings,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ29H6d_ijpBIRCrlAwhtJVww,2026-03-28T21:30:59.393Z,false
50,Tapas 24,7.6,5000,3.7,448,3.8,4552,,Tapas Bars,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJPfRDh-2ipBIRZv1N4WCZtR0,2026-03-28T21:30:59.393Z,false
51,Alsur Café,8.4,4985,4.2,353,4.2,4632,,"Breakfast & Brunch, Cafeteria, Cocktail Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJyZYIJu6ipBIRe1lRArLwfXo,2026-03-28T21:30:59.393Z,false
52,La Paradeta,8.8,4867,4.4,228,4.4,4639,,Seafood,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJg2mdP8OipBIR_kYUrsvg4yA,2026-03-28T21:30:59.393Z,false
53,La Terraza Miró,9.4,4673,,,4.7,4673,,Spanish Restaurant,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJA_sTFX-ipBIR4foXyGXk9vU,2026-03-28T21:30:59.393Z,false
54,Paisano Bistró,9.6,4496,4.7,164,4.8,4332,,"Cafeteria, Italian, Mediterranean","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJGTrtltyipBIRtGgJda8twWo,2026-03-28T21:30:59.393Z,false
55,Tucco Real Food Born,9.2,4430,4.7,663,4.6,3767,,"Argentine, Italian","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ-fVkbVaipBIRygvueZ4Pp-M,2026-03-28T21:30:59.393Z,false
56,Vinitus Madrid-Barcelona,9.2,4253,4.5,448,4.6,3805,,Tapas Bars,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJv-oIPO2ipBIRZBAH57fWgio,2026-03-28T21:30:59.393Z,false
57,Taquerías Tamarindo,9.0,3827,4.4,269,4.5,3558,,"Mexican, Tapas Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJQR30dY2ipBIRQCV_awgIxG0,2026-03-28T21:30:59.393Z,false
58,Disfrutar,9.6,3803,4.8,137,4.8,3666,,"Modern European, Mediterranean","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJTSzGu4WipBIRkznre9Zwis0,2026-03-28T21:30:59.393Z,false
59,Caravelle,9.4,3720,4.5,271,4.7,3449,,"Breakfast & Brunch, Cafeteria","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJBf8_w_WipBIRCGjZPVuEL8c,2026-03-28T21:30:59.393Z,false
60,Tosca,9.0,3688,4.3,296,4.5,3392,,"Spanish, Tapas Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJly6xafqipBIRtatyyfk3ywc,2026-03-28T21:30:59.393Z,false
61,Bo de B,9.0,3678,4.3,257,4.5,3421,,Sandwiches,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJpaKMb_-ipBIRooL2SuIHzo4,2026-03-28T21:30:59.393Z,false
62,Miño,9.3,3325,4.2,217,4.7,3108,,"Seafood, Tapas Bars, Arroceria / Paella","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJP-JQafaipBIRf2cJ21lrPnE,2026-03-28T21:30:59.393Z,false
63,Cal Pep,8.7,3281,4.1,279,4.4,3002,,"Mediterranean, Tapas Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJbd9pOf6ipBIRt8JasLJbTHI,2026-03-28T21:30:59.393Z,false
64,Maleducat,9.4,3085,,,4.7,3085,,"Cocktail Bar, Mediterranean Restaurant, Bar","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJPw0-66WjpBIRPN6jXT90c54,2026-03-28T21:30:59.393Z,false
65,Bosque Palermo,8.4,3076,4.1,210,4.2,2866,,Spanish,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJqxiVA4-ipBIR5RH7tGSVgM4,2026-03-28T21:30:59.393Z,false
66,Bistro Sagrada,9.6,3064,,,4.8,3064,,"Mediterranean Restaurant, Tapas Restaurant, Spanish Restaurant","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ99-fqTujpBIR_1f5H30YaQo,2026-03-28T21:30:59.393Z,false
67,El Quim de la Boqueria,9.2,2973,4.5,304,4.6,2669,,"Tapas Bars, Breakfast & Brunch","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJuUIe1_mipBIRvxFsLzykv9U,2026-03-28T21:30:59.393Z,false
68,La Cuina de Laietana,9.0,2953,4.3,53,4.5,2900,,Mediterranean,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJQ1M99vCipBIRWJu1wOjd3rg,2026-03-28T21:30:59.393Z,false
69,Chill Bar,8.8,2419,4.4,189,4.4,2230,,"Tapas Bars, Gastropubs, Burgers","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJlVqvXsKipBIRuwv5VZcDkNw,2026-03-28T21:30:59.393Z,false
70,RAO Restaurant,9.4,2360,4.7,87,4.7,2273,,"Mediterranean, Spanish, Catalan","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJZQKuEx6jpBIRAttn9_8h0Dk,2026-03-28T21:30:59.393Z,false
71,The Grill Barcelona,9.6,2212,,,4.8,2212,,Mediterranean Restaurant,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJe4hdggijpBIR1Eh34IJNnAE,2026-03-28T21:30:59.393Z,false
72,Time Out Market Barcelona,9.0,2178,,,4.5,2178,,,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJGXYcFbijpBIRNV9z9rGx7-E,2026-03-28T21:30:59.393Z,false
73,Restaurant Lounge My Way,9.2,1910,4.6,46,4.6,1864,,"Spanish, Mediterranean, Cocktail Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJz9YICfiipBIR-rbtY7itW9Y,2026-03-28T21:30:59.393Z,false
74,Amades Restaurant,9.6,1742,,,4.8,1742,,"Mediterranean Restaurant, Cocktail Bar, Bar","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJSwkRFKGjpBIRvuaV6WtgXg4,2026-03-28T21:30:59.393Z,false
75,Pinotxo Bar,8.8,1719,4.4,252,4.4,1467,,"Spanish, Basque, Tapas/Small Plates","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ-QmOyfeipBIREHQngnjkAVE,2026-03-28T21:30:59.393Z,false
76,BODEGA OLIVA,9.6,1612,,,4.8,1612,,Bar,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJef1HPBWjpBIRnbC1J-cB5W8,2026-03-28T21:30:59.393Z,false
77,Xera Restaurant,9.6,1114,,,4.8,1114,,"Tapas Restaurant, Spanish Restaurant, Mediterranean Restaurant","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ6_fckBijpBIRKuN4tjfLq3s,2026-03-28T21:30:59.393Z,false
78,Besta Barcelona,9.2,780,,,4.6,780,,,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJTdYVPXajpBIRl_r4S5s8i1c,2026-03-28T21:30:59.393Z,false
79,Somorrostro,8.8,382,4.4,382,,,,"Catalan, Seafood","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ0TUpeY-jpBIRLUSEPcpAMYg,2026-03-28T21:30:59.393Z,false
80,Tickets,8.8,216,4.4,216,,,,"Tapas Bars, Spanish, Vermouth Bars","Barcelona, Spain",,2026-03-28T21:30:59.393Z,false
