Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
37,Zuma Rome,8.8,4805,3.8,44,4.4,4761,,"Japanese, Seafood, Lounges","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJVby3HVRgLxMRCT2x_x0Qa24,2026-03-28T21:31:34.965Z,false
38,Il Chianti,8.6,4763,4.3,312,4.3,4451,,"Wine Bars, Tuscan","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJGahG0qxhLxMRxrsJ29p526s,2026-03-28T21:31:34.965Z,false
39,Il Vicolo Nel Corso,8.8,4656,,,4.4,4656,,"Italian Restaurant, Mediterranean Restaurant, Seafood Restaurant","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJU4wC5K1hLxMRIosX8G_HAro,2026-03-28T21:31:34.965Z,false
40,Nerone,9.4,4636,4.7,153,4.7,4483,,"Roman, Pizza","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJGxJt3aVhLxMR-HI_g4zIzuE,2026-03-28T21:31:34.965Z,false
41,433,8.8,4621,4.3,88,4.4,4533,,"Mediterranean, Roman","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJWzd0IUVgLxMRwfW0BMGN3wE,2026-03-28T21:31:34.965Z,false
42,Hostaria Romana,9.0,4546,4.2,229,4.5,4317,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJW1eAeaxhLxMRItxbhOKruY4,2026-03-28T21:31:34.965Z,false
43,Taverna dei migliori,9.2,4425,,,4.6,4425,,Italian Restaurant,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ2UCyaJdhLxMRCVrQ0J0YxfQ,2026-03-28T21:31:34.965Z,false
44,Amedeo Ristorante,8.8,4391,4.2,369,4.4,4022,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJkRvJRqRhLxMRTpu4WRhK6CM,2026-03-28T21:31:34.965Z,false
45,Antica Osteria Rugantino,9.0,4267,2.8,28,4.5,4239,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJzRnzHUhgLxMRVcx7oQxgZPI,2026-03-28T21:31:34.965Z,false
46,Pizza Zizza,9.4,4091,4.7,356,4.7,3735,,"Pizza, Cafeteria, Beer Bar","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJIzhfwGhgLxMR70QSJRR4rH4,2026-03-28T21:31:34.965Z,false
47,Sapori e Delizie,9.2,4039,4.5,901,4.6,3138,,Pizza,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJF4xWFrthLxMRNwZ9j9VBVJo,2026-03-28T21:31:34.965Z,false
48,Mercato Hostaria Roma,9.4,3979,,,4.7,3979,,"Wine Bar, Italian Restaurant, Bar","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJGyKVXk9gLxMRlkrDksHRlSk,2026-03-28T21:31:34.965Z,false
